54
0.0 0.0
1.0 0.0
1.0 0.5
0.5 0.5
0.5 1.0
0.0 1.0
0.404505669862 0.717005669862
0.5 0.75
0.25 1.0
0.333984375 0.830078125
0.5 0.875
0.343073918269 0.636793870192
0.0 0.75
0.4375 0.8125
0.5 0.8125
0.375 1.0
0.5 0.9375
0.40625 0.90625
0.4375 0.96875
0.0 0.5
0.5 0.625
0.5 0.0
0.182324952927 0.726090211573
0.349404435207 0.485648531754
0.290322856569 0.731169009218
0.1965827582 0.867882677904
0.0586786890841 0.875
0.0 0.25
0.447842904023 0.25
0.43515999312 0.383086740526
0.226908873347 0.29609310977
0.625 0.354238353261
0.75 0.5
0.625 0.5
0.6875 0.427119176631
1.0 0.25
0.751033521948 0.30939579025
0.75 0.0
0.625146994102 0.155116686879
0.875 0.5
0.780587088496 0.410530302251
0.874962318985 0.277373867302
1.0 0.375
0.8125 0.471403665908
0.885573290377 0.394293065657
0.951698073435 0.4375
0.9375 0.5
0.781089788881 0.152829356316
0.173556421295 0.464928422394
0.214285778609 0.594289027118
0.924464113766 0.125
0.072885281917 0.625
0.25 0.0
0.312502103625 0.153821238589
81
6 9 24
23 29 3
10 16 17
22 25 26
3 20 23
28 31 29
16 4 18
28 29 30
9 6 13
25 22 24
10 17 13
24 22 49
11 23 20
6 7 13
51 48 49
9 13 17
14 10 13
3 29 31
13 7 14
25 9 8
15 17 18
15 8 17
16 18 17
4 15 18
8 9 17
6 20 7
11 20 6
27 30 48
51 12 19
11 24 49
28 53 21
6 24 11
25 24 9
5 26 8
25 8 26
5 12 26
22 26 12
30 29 23
30 53 28
28 38 31
21 37 38
48 30 23
52 27 0
39 43 44
38 36 31
3 31 33
31 36 34
34 32 33
33 31 34
44 40 36
42 41 35
37 47 38
42 44 41
38 28 21
41 47 50
39 32 43
32 34 40
34 36 40
44 36 41
47 36 38
50 1 35
32 40 43
45 39 44
44 43 40
45 44 42
42 2 45
39 45 46
50 37 1
45 2 46
36 47 41
23 11 49
27 48 19
22 12 51
23 49 48
41 50 35
37 50 47
48 51 19
22 51 49
27 53 30
52 53 27
21 53 52
25
1 37
2 42
3 33
16 4
5 8
0 27
7 20
10 14
14 7
16 10
8 15
15 4
19 12
20 3
12 5
27 19
21 52
32 39
33 32
35 1
37 21
42 35
39 46
46 2
52 0
